cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
341,simulation5,2.5626473,0.5914285,4.3287096,1.4106264,1.5732632,2.2046046,0.6837362,0.01661918
342,simulation5,2.562975,0.49003032,4.4590507,1.3089662,1.6460981,2.1811702,0.69954026,0.01661918
343,simulation5,2.603252,0.5924921,4.439846,1.4203151,1.6209539,2.192584,0.6874233,0.01661918
344,simulation5,2.5403748,0.4771595,4.412776,1.291261,1.6282777,2.1849914,0.6994236,0.01661918
345,simulation5,2.5605166,0.5401669,4.3877406,1.3587,1.6070509,2.1934822,0.6914734,0.01661918
346,simulation5,2.516607,0.52980167,4.279743,1.3388635,1.5622681,2.204364,0.6888975,0.01661918
347,simulation5,2.5116353,0.43196535,4.394462,1.2397249,1.6283506,2.1827106,0.7040601,0.01661918
348,simulation5,2.5225844,0.456014,4.3922553,1.2661979,1.6231711,2.1852179,0.70118517,0.01661918
349,simulation5,2.476282,0.50371253,4.2039094,1.3038448,1.5342054,2.210326,0.6892225,0.01661918
350,simulation5,2.5943527,0.56825167,4.4461226,1.3940622,1.6276399,2.1896977,0.69033605,0.01661918
351,simulation5,2.6495144,0.52229106,4.663334,1.3592286,1.7294525,2.162224,0.70281696,0.01661918
352,simulation5,2.606475,0.54485947,4.510513,1.3730843,1.6593376,2.1806138,0.69513774,0.01661918
353,simulation5,2.6041956,0.5836627,4.453835,1.4116279,1.6284415,2.190265,0.68888146,0.01661918
354,simulation5,2.5853999,0.5311525,4.4688888,1.3549145,1.6435792,2.1838555,0.6952581,0.01661918
355,simulation5,2.5574634,0.515768,4.4104357,1.3335855,1.6208467,2.1887875,0.69498324,0.01661918
356,simulation5,2.4758549,0.42879155,4.3008018,1.2287166,1.5886853,2.1925907,0.7012341,0.01661918
357,simulation5,2.5193734,0.5055471,4.3177996,1.3151864,1.5825888,2.1979673,0.6929318,0.01661918
358,simulation5,2.530377,0.5989445,4.231294,1.4112122,1.5302677,2.2160661,0.67952305,0.01661918
359,simulation5,2.59775,0.5119807,4.528748,1.3382525,1.6726689,2.1756585,0.6994449,0.01661918
360,simulation5,2.6795237,0.51830214,4.755938,1.3612376,1.7705108,2.1520717,0.70634997,0.01661918
361,simulation5,2.4901242,0.50091225,4.244614,1.3041085,1.5520558,2.205556,0.69095,0.01661918
362,simulation5,2.5942826,0.54452735,4.476556,1.3702065,1.644694,2.1842453,0.69402176,0.01661918
363,simulation5,2.7531424,0.52734303,4.961429,1.3847052,1.8590232,2.1314404,0.7120767,0.01661918
364,simulation5,2.5438201,0.4855703,4.411077,1.3004423,1.6260877,2.1859624,0.69839656,0.01661918
365,simulation5,2.6012516,0.5333136,4.5107923,1.3603978,1.661363,2.1795328,0.6964409,0.01661918
366,simulation5,2.546783,0.5912435,4.2854753,1.4070294,1.5547307,2.2093503,0.68226165,0.01661918
367,simulation5,2.668863,0.49750856,4.753027,1.3381953,1.7727145,2.1504874,0.70860416,0.01661918
368,simulation5,2.5718648,0.56674194,4.385394,1.3877912,1.6016879,2.1961594,0.6884285,0.01661918
369,simulation5,2.6622531,0.520975,4.7019963,1.3604741,1.7465209,2.1580074,0.70425564,0.01661918
370,simulation5,2.657558,0.4872519,4.733916,1.3256269,1.7660803,2.1515684,0.7091296,0.01661918
371,simulation5,2.5840855,0.5094795,4.4933176,1.3328937,1.657726,2.1792438,0.69852245,0.01661918
372,simulation5,2.6588378,0.63410014,4.5428934,1.4737734,1.6587577,2.1852357,0.6862672,0.01661918
373,simulation5,2.6035697,0.5317833,4.5193505,1.359343,1.6653239,2.178472,0.6969025,0.01661918
374,simulation5,2.763715,0.5734005,4.9291654,1.4332445,1.8371748,2.1389577,0.7058112,0.01661918
375,simulation5,2.5854185,0.561984,4.429201,1.3858815,1.6213619,2.1909618,0.6904577,0.01661918
376,simulation5,2.5941226,0.49606442,4.539311,1.3215324,1.6798841,2.1730738,0.70159465,0.01661918
377,simulation5,2.6413424,0.5148699,4.6496706,1.3501104,1.7247365,2.1630003,0.7031956,0.01661918
378,simulation5,2.6017642,0.48896652,4.570444,1.3159971,1.6945786,2.1690905,0.7034494,0.01661918
379,simulation5,2.54875,0.5839133,4.300021,1.4000877,1.5621643,2.2070718,0.68357944,0.01661918
380,simulation5,2.6847293,0.55177486,4.7257667,1.3959907,1.7517561,2.158294,0.70157856,0.01661918
381,simulation5,2.5971007,0.41589057,4.6563334,1.2417363,1.7443994,2.153209,0.71471727,0.01661918
382,simulation5,2.6363494,0.4808033,4.680904,1.31488,1.7440199,2.1565852,0.70808977,0.01661918
383,simulation5,2.7163465,0.51582354,4.8677692,1.3659892,1.8198605,2.1401274,0.7103201,0.01661918
384,simulation5,2.6969895,0.58427644,4.7178483,1.4312062,1.7429352,2.1620784,0.6976618,0.01661918
385,simulation5,2.627419,0.6203936,4.4719453,1.4534583,1.6302935,2.1916406,0.68540365,0.01661918
386,simulation5,2.6876807,0.4606372,4.8590846,1.3048543,1.8253311,2.1360173,0.7163016,0.01661918
387,simulation5,2.6750815,0.51474655,4.7477846,1.3567744,1.7675433,2.1526072,0.7064811,0.01661918
388,simulation5,2.621706,0.5123471,4.596578,1.3435673,1.702058,2.168426,0.7016961,0.01661918
389,simulation5,2.673019,0.6110951,4.613228,1.4534497,1.6930114,2.1756203,0.6911833,0.01661918
390,simulation5,2.703637,0.5938017,4.7244473,1.4421415,1.7442465,2.162244,0.6968104,0.01661918
391,simulation5,2.7768002,0.5843015,4.953199,1.4467642,1.8459129,2.137451,0.70535916,0.01661918
392,simulation5,2.657059,0.5245877,4.682076,1.363063,1.7372351,2.160445,0.7031843,0.01661918
393,simulation5,2.684587,0.5183617,4.770675,1.3623034,1.7769399,2.1505263,0.7068317,0.01661918
394,simulation5,2.5795505,0.61982644,4.3396235,1.4427971,1.5733551,2.2059917,0.6809612,0.01661918
395,simulation5,2.6519752,0.5621941,4.6172457,1.3998871,1.702778,2.1707551,0.69679266,0.01661918
396,simulation5,2.6249285,0.5529558,4.5522337,1.3850467,1.676083,2.1768675,0.69564193,0.01661918
397,simulation5,2.7681525,0.5110138,5.029623,1.3710713,1.8917725,2.1229186,0.7161441,0.01661918
398,simulation5,2.7233944,0.4493454,4.9816933,1.300425,1.8811085,2.122261,0.72161627,0.01661918
399,simulation5,2.7841723,0.56245846,5.0057135,1.4260654,1.8726258,2.1300437,0.70952827,0.01661918
400,simulation5,2.6260633,0.5100866,4.6120734,1.3421898,1.7091703,2.1665673,0.70247257,0.01661918
401,simulation5,2.7702403,0.52128136,5.0213985,1.3818324,1.8864164,2.1246974,0.71471107,0.01661918
402,simulation5,2.6700976,0.5514906,4.6837063,1.3927729,1.7334701,2.1627176,0.70021266,0.01661918
403,simulation5,2.7647161,0.53651375,4.9833307,1.3961692,1.867108,2.1300068,0.7117484,0.01661918
404,simulation5,2.6438498,0.5725389,4.580349,1.4086471,1.685044,2.1756365,0.6943977,0.01661918
405,simulation5,2.7196414,0.6510421,4.694635,1.5031798,1.7218688,2.17058,0.68942624,0.01661918
406,simulation5,2.6701381,0.44796652,4.824603,1.2886772,1.8123449,2.1384673,0.71660554,0.01661918
407,simulation5,2.6597476,0.5183823,4.6982145,1.3573622,1.7453038,2.1581717,0.704422,0.01661918
408,simulation5,2.7843037,0.47558632,5.1293206,1.3383456,1.9417417,2.1094787,0.72340554,0.01661918
409,simulation5,2.795491,0.5138028,5.108662,1.3790075,1.926132,2.1150584,0.718379,0.01661918
