cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
0,simulation6,0.07314243,0.0,0.3819203,0.03522463,0.22640128,2.503543,0.46406022,0.016220456
1,simulation6,0.0,0.009521581,0.28886065,0.008893084,0.19273251,2.5221467,0.45635587,0.016220456
2,simulation6,0.06424383,0.0,0.37039644,0.030965889,0.22218572,2.5057058,0.4633079,0.016220456
3,simulation6,0.02422248,0.0,0.3205497,0.01171862,0.2044943,2.5149872,0.4597915,0.016220456
4,simulation6,0.043984827,0.0,0.34485126,0.021241013,0.21303223,2.5104425,0.4615336,0.016220456
5,simulation6,0.011397702,0.108663835,0.27580413,0.107248046,0.17963369,2.5363991,0.44389695,0.016220456
6,simulation6,0.14590237,0.049523536,0.4627811,0.11621603,0.25193262,2.4945014,0.4633183,0.016220456
7,simulation6,0.17283978,0.0,0.5198207,0.08241452,0.27919334,2.47878,0.47255415,0.016220456
8,simulation6,0.13583231,0.0,0.46666515,0.06501164,0.2583504,2.4880898,0.4693871,0.016220456
9,simulation6,0.1831362,0.08937683,0.5003749,0.17122309,0.2624675,2.4924269,0.46092463,0.016220456
10,simulation6,0.1808064,0.0060804216,0.52915597,0.09184663,0.28228608,2.4778728,0.47237787,0.016220456
11,simulation6,0.12648548,0.0771904,0.42684075,0.13300799,0.2356535,2.5041764,0.45785686,0.016220456
12,simulation6,0.18140897,0.038306125,0.5173418,0.122383036,0.27428356,2.4836175,0.46789423,0.016220456
13,simulation6,0.19020548,0.0,0.5456294,0.090533055,0.28952372,2.4743555,0.47404477,0.016220456
14,simulation6,0.22255392,0.0051225964,0.59300274,0.11038473,0.3082744,2.4669926,0.4761024,0.016220456
15,simulation6,0.1873792,0.0,0.5413908,0.08921385,0.28781816,2.4750776,0.47380194,0.016220456
16,simulation6,0.13257502,0.014862889,0.45673424,0.07740059,0.2530472,2.4915814,0.46702492,0.016220456
17,simulation6,0.1656121,0.0,0.5092432,0.07902655,0.27499813,2.4806125,0.47193483,0.016220456
18,simulation6,0.21267462,0.061753042,0.5541136,0.15903811,0.28651398,2.4799995,0.46726635,0.016220456
19,simulation6,0.24097142,0.08018747,0.5892718,0.18955159,0.2988001,2.4761941,0.46708864,0.016220456
20,simulation6,0.28288507,0.10919818,0.64017326,0.23628592,0.31618053,2.4708815,0.4665813,0.016220456
21,simulation6,0.1959713,0.056403317,0.5315319,0.14620924,0.27805224,2.4832447,0.46659702,0.016220456
22,simulation6,0.22363286,0.0,0.5969265,0.10607369,0.310438,2.4657557,0.47692448,0.016220456
23,simulation6,0.2416217,0.080883436,0.5899733,0.19050904,0.2990125,2.4761567,0.4670465,0.016220456
24,simulation6,0.30437464,0.08982248,0.677609,0.22787778,0.33244103,2.462362,0.47084177,0.016220456
25,simulation6,0.33237138,0.0036447463,0.74635077,0.1595306,0.36655122,2.4421425,0.48379916,0.016220456
26,simulation6,0.31645563,0.0,0.7261828,0.14882754,0.35948285,2.4448287,0.4833491,0.016220456
