gene_name,epoch,loss
simulation8,9,0.046335746
simulation8,19,0.050677
simulation8,29,0.0461663
simulation8,39,0.04688544
simulation8,49,0.048169084
simulation8,59,0.04855235
simulation9,9,0.05475626
simulation9,19,0.042987637
simulation9,29,0.04590612
simulation9,39,0.037618145
simulation9,49,0.058951262
simulation9,59,0.040364474
simulation9,69,0.050080072
simulation7,9,0.055983953
simulation7,19,0.05542695
simulation7,29,0.05567061
simulation7,39,0.05349752
simulation7,49,0.047081202
simulation7,59,0.041947797
simulation7,69,0.04407502
simulation7,79,0.04157544
simulation7,89,0.03983911
simulation7,99,0.043118194
simulation7,109,0.046329238
simulation7,119,0.03913992
simulation7,129,0.0441689
simulation7,139,0.048679747
simulation7,149,0.04332917
simulation6,9,0.053239197
simulation6,19,0.05762548
simulation6,29,0.04453349
simulation6,39,0.043138407
simulation6,49,0.04412358
simulation6,59,0.044453777
simulation6,69,0.04231907
simulation6,79,0.044981867
simulation6,89,0.042704865
simulation6,99,0.042771325
simulation4,9,0.052238733
simulation4,19,0.044215236
simulation4,29,0.047423024
simulation4,39,0.040203273
simulation4,49,0.0433174
simulation4,59,0.049281906
simulation4,69,0.04526313
simulation5,9,0.050340693
simulation5,19,0.047661882
simulation5,29,0.057957746
simulation5,39,0.047565784
simulation5,49,0.048384625
simulation5,59,0.047219537
simulation5,69,0.04641677
simulation5,79,0.043481164
simulation5,89,0.043651648
simulation5,99,0.040080246
simulation5,109,0.04462713
simulation5,119,0.03902188
simulation5,129,0.04761469
simulation5,139,0.04429005
simulation5,149,0.04566538
simulation1,9,0.05406543
simulation1,19,0.045523126
simulation1,29,0.04860285
simulation1,39,0.04237466
simulation1,49,0.048997775
simulation1,59,0.045631565
simulation1,69,0.046625078
simulation0,9,0.048758455
simulation0,19,0.05344712
simulation0,29,0.04046589
simulation0,39,0.044267833
simulation0,49,0.042037997
simulation0,59,0.04397512
simulation2,9,0.049241006
simulation2,19,0.043198954
simulation2,29,0.04917259
simulation2,39,0.04824323
simulation2,49,0.047487054
simulation3,9,0.050859638
simulation3,19,0.05210476
simulation3,29,0.054579813
simulation3,39,0.05536738
