gene_name,epoch,loss
simulation8,9,0.050491054
simulation8,19,0.03543112
simulation8,29,0.046977308
simulation8,39,0.044017784
simulation8,49,0.04221306
simulation9,9,0.04437525
simulation9,19,0.05505411
simulation9,29,0.041786533
simulation9,39,0.037637834
simulation9,49,0.043643676
simulation9,59,0.038798105
simulation9,69,0.040930122
simulation7,9,0.05114959
simulation7,19,0.04381346
simulation7,29,0.040758837
simulation7,39,0.038966164
simulation7,49,0.045276582
simulation7,59,0.039941236
simulation7,69,0.036028724
simulation7,79,0.036401946
simulation7,89,0.036625646
simulation7,99,0.04150271
simulation6,9,0.042870685
simulation6,19,0.047961917
simulation6,29,0.04441751
simulation6,39,0.042928845
simulation4,9,0.049595434
simulation4,19,0.042050738
simulation4,29,0.041876372
simulation4,39,0.04400019
simulation4,49,0.0404442
simulation4,59,0.043376856
simulation4,69,0.037374243
simulation4,79,0.048451677
simulation4,89,0.037796773
simulation4,99,0.035247304
simulation4,109,0.041948557
simulation4,119,0.03671019
simulation4,129,0.04589463
simulation5,9,0.045939233
simulation5,19,0.041960083
simulation5,29,0.042079255
simulation5,39,0.037208438
simulation5,49,0.04318429
simulation5,59,0.044926804
simulation5,69,0.03657594
simulation5,79,0.03475925
simulation5,89,0.03794886
simulation5,99,0.04164883
simulation5,109,0.042771224
simulation1,9,0.045489904
simulation1,19,0.04172863
simulation1,29,0.040999264
simulation1,39,0.042752974
simulation1,49,0.042067923
simulation1,59,0.039375465
simulation1,69,0.038544416
simulation1,79,0.03824672
simulation1,89,0.039915603
simulation1,99,0.051392175
simulation1,109,0.036296673
simulation1,119,0.04011874
simulation1,129,0.040276516
simulation1,139,0.042518675
simulation0,9,0.04356061
simulation0,19,0.04290241
simulation0,29,0.03368736
simulation0,39,0.046100978
simulation0,49,0.040523008
simulation0,59,0.034414195
simulation2,9,0.048467804
simulation2,19,0.03705671
simulation2,29,0.041144658
simulation2,39,0.04057992
simulation2,49,0.034446664
simulation2,59,0.041734222
simulation2,69,0.04435293
simulation2,79,0.0447345
simulation3,9,0.045420434
simulation3,19,0.050568525
simulation3,29,0.03992395
simulation3,39,0.035526678
simulation3,49,0.0365698
simulation3,59,0.038433738
simulation3,69,0.037417416
