gene_name,epoch,loss
simulation8,9,0.055974722
simulation8,19,0.05044142
simulation8,29,0.049590003
simulation8,39,0.05564406
simulation8,49,0.062958494
simulation8,59,0.052398276
simulation9,9,0.05743784
simulation9,19,0.05131869
simulation9,29,0.046974663
simulation9,39,0.046387997
simulation9,49,0.04235532
simulation9,59,0.045824017
simulation9,69,0.049329262
simulation9,79,0.046531465
simulation7,9,0.050587185
simulation7,19,0.056612104
simulation7,29,0.055085488
simulation7,39,0.04909463
simulation7,49,0.044610888
simulation7,59,0.048327338
simulation7,69,0.043052044
simulation7,79,0.04760289
simulation7,89,0.04760142
simulation7,99,0.046557203
simulation6,9,0.05135658
simulation6,19,0.04987316
simulation6,29,0.05432725
simulation6,39,0.04778259
simulation6,49,0.050122827
simulation6,59,0.04804158
simulation6,69,0.05066523
simulation4,9,0.06411116
simulation4,19,0.06267235
simulation4,29,0.0426827
simulation4,39,0.046318904
simulation4,49,0.047786977
simulation4,59,0.05140661
simulation5,9,0.0686179
simulation5,19,0.048891716
simulation5,29,0.05008499
simulation5,39,0.054538462
simulation5,49,0.04216833
simulation5,59,0.05181475
simulation5,69,0.053504184
simulation5,79,0.051023588
simulation1,9,0.0502333
simulation1,19,0.04814213
simulation1,29,0.05258747
simulation1,39,0.0427902
simulation1,49,0.044097725
simulation1,59,0.04772378
simulation1,69,0.05112732
simulation0,9,0.055100717
simulation0,19,0.044366587
simulation0,29,0.046442695
simulation0,39,0.049929354
simulation0,49,0.046452213
simulation2,9,0.05325811
simulation2,19,0.044957843
simulation2,29,0.045418303
simulation2,39,0.048598092
simulation2,49,0.043517146
simulation2,59,0.047918603
simulation2,69,0.04519581
simulation2,79,0.058698468
simulation3,9,0.06534053
simulation3,19,0.051119424
simulation3,29,0.048285767
simulation3,39,0.04889061
simulation3,49,0.05543576
simulation3,59,0.055748753
