gene_name,epoch,loss
simulation8,9,0.061203856
simulation8,19,0.046105344
simulation8,29,0.045952477
simulation8,39,0.046703428
simulation8,49,0.041279905
simulation8,59,0.04202315
simulation8,69,0.048186228
simulation8,79,0.0522169
simulation9,9,0.058458883
simulation9,19,0.06345321
simulation9,29,0.044311784
simulation9,39,0.048463
simulation9,49,0.042262804
simulation9,59,0.04404282
simulation9,69,0.053366218
simulation9,79,0.046508655
simulation7,9,0.0555826
simulation7,19,0.05375827
simulation7,29,0.057398576
simulation7,39,0.047802895
simulation7,49,0.0547229
simulation7,59,0.06370008
simulation7,69,0.04375456
simulation7,79,0.047170814
simulation7,89,0.05795004
simulation7,99,0.04296074
simulation7,109,0.042566985
simulation7,119,0.046786834
simulation7,129,0.045264054
simulation7,139,0.048029363
simulation6,9,0.058682427
simulation6,19,0.047401495
simulation6,29,0.04517472
simulation6,39,0.046561517
simulation6,49,0.044902228
simulation6,59,0.047882937
simulation6,69,0.042737167
simulation6,79,0.049796563
simulation6,89,0.052268602
simulation6,99,0.049865507
simulation4,9,0.053982206
simulation4,19,0.048641026
simulation4,29,0.043789882
simulation4,39,0.045694552
simulation4,49,0.06613222
simulation4,59,0.047743723
simulation5,9,0.057218596
simulation5,19,0.05166034
simulation5,29,0.046311017
simulation5,39,0.052997064
simulation5,49,0.04739043
simulation5,59,0.04653981
simulation1,9,0.045505974
simulation1,19,0.04251663
simulation1,29,0.051081393
simulation1,39,0.045936953
simulation1,49,0.046391927
simulation0,9,0.059314728
simulation0,19,0.04770471
simulation0,29,0.044729292
simulation0,39,0.045299362
simulation0,49,0.058306146
simulation0,59,0.051697735
simulation2,9,0.05388117
simulation2,19,0.050038006
simulation2,29,0.050588276
simulation2,39,0.045791555
simulation2,49,0.04471867
simulation2,59,0.060092125
simulation2,69,0.045209702
simulation2,79,0.045515753
simulation3,9,0.058729626
simulation3,19,0.05830965
simulation3,29,0.0594684
simulation3,39,0.045340836
simulation3,49,0.04873872
simulation3,59,0.052145403
simulation3,69,0.060220227
